Epoch 1/100, Train Loss: 0.694782163699468, Validation Loss: 0.5929616093635559, Precision: 0.8333333333333334, Recall: 0.1495962127541075, F1: 0.24035931599208174, Accuracy: 0.2184873949579832
Epoch 2/100, Train Loss: 0.39942589700222014, Validation Loss: 0.38450056314468384, Precision: 0.8333333333333334, Recall: 0.4452798663324979, F1: 0.5511315339184192, Accuracy: 0.5378151260504201
Epoch 3/100, Train Loss: 0.21180140773455303, Validation Loss: 0.22479955106973648, Precision: 0.8214285714285715, Recall: 0.7297270955165692, F1: 0.7726179987843275, Accuracy: 0.8823529411764706
Epoch 4/100, Train Loss: 0.12051263451576233, Validation Loss: 0.18265137448906898, Precision: 0.8333333333333334, Recall: 0.7697577276524644, F1: 0.7995990495990496, Accuracy: 0.907563025210084
Epoch 5/100, Train Loss: 0.07906397903958956, Validation Loss: 0.15847225487232208, Precision: 0.8214285714285715, Recall: 0.7697577276524644, F1: 0.7942624321934666, Accuracy: 0.907563025210084
Epoch 6/100, Train Loss: 0.05155435241758823, Validation Loss: 0.15106453374028206, Precision: 0.8333333333333334, Recall: 0.7697577276524644, F1: 0.7995990495990496, Accuracy: 0.907563025210084
Epoch 7/100, Train Loss: 0.03533297535032034, Validation Loss: 0.13456491753458977, Precision: 0.8271604938271605, Recall: 0.7697577276524644, F1: 0.7968839284628758, Accuracy: 0.907563025210084
Epoch 8/100, Train Loss: 0.024647339433431625, Validation Loss: 0.1323101380839944, Precision: 0.8333333333333334, Recall: 0.7737259816207184, F1: 0.8018710392128113, Accuracy: 0.9159663865546218
Epoch 9/100, Train Loss: 0.01811345334475239, Validation Loss: 0.12539896368980408, Precision: 0.8333333333333334, Recall: 0.7864661654135339, F1: 0.8085907335907336, Accuracy: 0.9243697478991597
Epoch 10/100, Train Loss: 0.013529847003519535, Validation Loss: 0.12872993014752865, Precision: 0.8333333333333334, Recall: 0.7776942355889723, F1: 0.8040862290862291, Accuracy: 0.9243697478991597
Epoch 11/100, Train Loss: 0.01049220295002063, Validation Loss: 0.12592010386288166, Precision: 0.8333333333333334, Recall: 0.7776942355889723, F1: 0.8040862290862291, Accuracy: 0.9243697478991597
Epoch 12/100, Train Loss: 0.00866669441262881, Validation Loss: 0.12150647584348917, Precision: 0.8333333333333334, Recall: 0.7776942355889723, F1: 0.8040862290862291, Accuracy: 0.9243697478991597
Epoch 13/100, Train Loss: 0.007151480810716748, Validation Loss: 0.12621058709919453, Precision: 0.8333333333333334, Recall: 0.7776942355889723, F1: 0.8040862290862291, Accuracy: 0.9243697478991597
Epoch 14/100, Train Loss: 0.006115572884057959, Validation Loss: 0.1220337888225913, Precision: 0.8333333333333334, Recall: 0.7776942355889723, F1: 0.8040862290862291, Accuracy: 0.9243697478991597
Epoch 15/100, Train Loss: 0.005222784813183049, Validation Loss: 0.12455408740788698, Precision: 0.8333333333333334, Recall: 0.7776942355889723, F1: 0.8040862290862291, Accuracy: 0.9243697478991597
Epoch 16/100, Train Loss: 0.004595286236144603, Validation Loss: 0.12476721778512001, Precision: 0.8333333333333334, Recall: 0.7776942355889723, F1: 0.8040862290862291, Accuracy: 0.9243697478991597
