Epoch 1/100, Train Loss: 0.722146412730217, Validation Loss: 0.5315403565764427, Precision: 0.5, Recall: 0.18817878028404342, F1: 0.2574404761904762, Accuracy: 0.31092436974789917
Epoch 2/100, Train Loss: 0.34080955386161804, Validation Loss: 0.2864838168025017, Precision: 0.826388888888889, Recall: 0.5990253411306043, F1: 0.665731627155327, Accuracy: 0.7563025210084033
Epoch 3/100, Train Loss: 0.15726354519526164, Validation Loss: 0.1805427335202694, Precision: 0.8288288288288288, Recall: 0.7050403787245892, F1: 0.7613758583602218, Accuracy: 0.8571428571428571
Epoch 4/100, Train Loss: 0.08769727808733781, Validation Loss: 0.14464865811169147, Precision: 0.8232002419842711, Recall: 0.7492620439988861, F1: 0.7834845046584826, Accuracy: 0.8991596638655462
Epoch 5/100, Train Loss: 0.053501246372858684, Validation Loss: 0.11850584670901299, Precision: 0.8290598290598291, Recall: 0.7620022277917015, F1: 0.7929283931537707, Accuracy: 0.907563025210084
Epoch 6/100, Train Loss: 0.033271002334853014, Validation Loss: 0.10699755325913429, Precision: 0.8291666666666666, Recall: 0.7946254525201893, F1: 0.8111820880113564, Accuracy: 0.9411764705882353
Epoch 7/100, Train Loss: 0.022678997305532297, Validation Loss: 0.09957758337259293, Precision: 0.8291666666666666, Recall: 0.7890698969646337, F1: 0.8083572292542942, Accuracy: 0.9327731092436975
Epoch 8/100, Train Loss: 0.015456714791556199, Validation Loss: 0.09333260171115398, Precision: 0.8291666666666666, Recall: 0.7890698969646337, F1: 0.8083572292542942, Accuracy: 0.9327731092436975
Epoch 9/100, Train Loss: 0.011379618973781666, Validation Loss: 0.09745358861982822, Precision: 0.8291666666666666, Recall: 0.7890698969646337, F1: 0.8083572292542942, Accuracy: 0.9327731092436975
Epoch 10/100, Train Loss: 0.008886723934362331, Validation Loss: 0.09127822332084179, Precision: 0.8291666666666666, Recall: 0.7890698969646337, F1: 0.8083572292542942, Accuracy: 0.9327731092436975
Epoch 11/100, Train Loss: 0.007112168846651912, Validation Loss: 0.08871897123754025, Precision: 0.8291666666666666, Recall: 0.7890698969646337, F1: 0.8083572292542942, Accuracy: 0.9327731092436975
Epoch 12/100, Train Loss: 0.005911471345461905, Validation Loss: 0.0941403191536665, Precision: 0.8291666666666666, Recall: 0.7890698969646337, F1: 0.8083572292542942, Accuracy: 0.9327731092436975
Epoch 13/100, Train Loss: 0.004914227950697144, Validation Loss: 0.08932860754430294, Precision: 0.8291666666666666, Recall: 0.7890698969646337, F1: 0.8083572292542942, Accuracy: 0.9327731092436975
Epoch 14/100, Train Loss: 0.0042089970161517465, Validation Loss: 0.09203190263360739, Precision: 0.8291666666666666, Recall: 0.7890698969646337, F1: 0.8083572292542942, Accuracy: 0.9327731092436975
Epoch 15/100, Train Loss: 0.003750565197939674, Validation Loss: 0.09088989719748497, Precision: 0.8291666666666666, Recall: 0.7890698969646337, F1: 0.8083572292542942, Accuracy: 0.9327731092436975
