Epoch 1/100, Train Loss: 0.7243073284626007, Validation Loss: 0.5580506473779678, Precision: 0.6666666666666666, Recall: 0.17485380116959062, F1: 0.25909551441466333, Accuracy: 0.25210084033613445
Epoch 2/100, Train Loss: 0.34422982136408486, Validation Loss: 0.2920265719294548, Precision: 0.8266666666666667, Recall: 0.5882205513784461, F1: 0.678701781898129, Accuracy: 0.7394957983193278
Epoch 3/100, Train Loss: 0.16114062120517095, Validation Loss: 0.17636700347065926, Precision: 0.8209876543209876, Recall: 0.7013366750208855, F1: 0.7563220405325669, Accuracy: 0.865546218487395
Epoch 4/100, Train Loss: 0.09076436745623748, Validation Loss: 0.14114363119006157, Precision: 0.8333333333333334, Recall: 0.7333890281258703, F1: 0.7783814616629104, Accuracy: 0.8991596638655462
Epoch 5/100, Train Loss: 0.057077536980311074, Validation Loss: 0.11188300512731075, Precision: 0.8266666666666667, Recall: 0.76526037315511, F1: 0.7942852576998919, Accuracy: 0.9159663865546218
Epoch 6/100, Train Loss: 0.03899132739752531, Validation Loss: 0.10560309141874313, Precision: 0.8225806451612904, Recall: 0.7851016429963797, F1: 0.8030323649176108, Accuracy: 0.9495798319327731
Epoch 7/100, Train Loss: 0.026839360470573108, Validation Loss: 0.09406286664307117, Precision: 0.8277777777777778, Recall: 0.7978418267891952, F1: 0.8123385290051957, Accuracy: 0.957983193277311
Epoch 8/100, Train Loss: 0.018649999145418407, Validation Loss: 0.08191660977900028, Precision: 0.8277777777777778, Recall: 0.8018100807574492, F1: 0.814446327860962, Accuracy: 0.957983193277311
Epoch 9/100, Train Loss: 0.013986324053257703, Validation Loss: 0.0785751212388277, Precision: 0.8229166666666666, Recall: 0.8073656363130047, F1: 0.8146255393304961, Accuracy: 0.9663865546218487
Epoch 10/100, Train Loss: 0.010666984583561618, Validation Loss: 0.07508316822350025, Precision: 0.8333333333333334, Recall: 0.8018100807574492, F1: 0.8171770246594554, Accuracy: 0.957983193277311
Epoch 11/100, Train Loss: 0.008322380110621452, Validation Loss: 0.0800018785521388, Precision: 0.8333333333333334, Recall: 0.7962545252018937, F1: 0.8142547569797359, Accuracy: 0.9495798319327731
Epoch 12/100, Train Loss: 0.00686334742543598, Validation Loss: 0.07760990038514137, Precision: 0.8333333333333334, Recall: 0.8018100807574492, F1: 0.8171770246594554, Accuracy: 0.957983193277311
Epoch 13/100, Train Loss: 0.0056528278316060705, Validation Loss: 0.07584874611347914, Precision: 0.8333333333333334, Recall: 0.8018100807574492, F1: 0.8171770246594554, Accuracy: 0.957983193277311
Epoch 14/100, Train Loss: 0.004983885555217663, Validation Loss: 0.07623864384368062, Precision: 0.8333333333333334, Recall: 0.8018100807574492, F1: 0.8171770246594554, Accuracy: 0.957983193277311
