Epoch 1/100, Train Loss: 0.7149394015471141, Validation Loss: 0.5743052512407303, Precision: 0.16666666666666666, Recall: 0.011904761904761904, F1: 0.022222222222222223, Accuracy: 0.025210084033613446
Epoch 2/100, Train Loss: 0.3504137103756269, Validation Loss: 0.27550138905644417, Precision: 0.8333333333333334, Recall: 0.4255917571707046, F1: 0.5444104308390022, Accuracy: 0.5882352941176471
Epoch 3/100, Train Loss: 0.16031133010983467, Validation Loss: 0.16894170828163624, Precision: 0.8333333333333334, Recall: 0.6737399053188526, F1: 0.7433921633921633, Accuracy: 0.8319327731092437
Epoch 4/100, Train Loss: 0.08997149715820948, Validation Loss: 0.13129067793488503, Precision: 0.8333333333333334, Recall: 0.7159287106655526, F1: 0.7682695320818924, Accuracy: 0.8823529411764706
Epoch 5/100, Train Loss: 0.057357609272003174, Validation Loss: 0.10563107952475548, Precision: 0.8333333333333334, Recall: 0.7469228627123364, F1: 0.7873279246696968, Accuracy: 0.9243697478991597
Epoch 6/100, Train Loss: 0.03724235165864229, Validation Loss: 0.0938915591686964, Precision: 0.8333333333333334, Recall: 0.7596630465051518, F1: 0.794047619047619, Accuracy: 0.9327731092436975
Epoch 7/100, Train Loss: 0.02645028761277596, Validation Loss: 0.0846370393410325, Precision: 0.8333333333333334, Recall: 0.7851016429963797, F1: 0.8081539772217737, Accuracy: 0.9495798319327731
Epoch 8/100, Train Loss: 0.019362879389276107, Validation Loss: 0.08478410448879004, Precision: 0.8333333333333334, Recall: 0.7851016429963797, F1: 0.8081539772217737, Accuracy: 0.9495798319327731
Epoch 9/100, Train Loss: 0.013767152807364862, Validation Loss: 0.07894580671563745, Precision: 0.8333333333333334, Recall: 0.7938735728209413, F1: 0.8129087319765286, Accuracy: 0.957983193277311
Epoch 10/100, Train Loss: 0.01055945196809868, Validation Loss: 0.07816409599035978, Precision: 0.8333333333333334, Recall: 0.7938735728209413, F1: 0.8129087319765286, Accuracy: 0.957983193277311
Epoch 11/100, Train Loss: 0.00861927674462398, Validation Loss: 0.07047308422625065, Precision: 0.8333333333333334, Recall: 0.7938735728209413, F1: 0.8129087319765286, Accuracy: 0.957983193277311
Epoch 12/100, Train Loss: 0.00691641221443812, Validation Loss: 0.07413699012249708, Precision: 0.8333333333333334, Recall: 0.7938735728209413, F1: 0.8129087319765286, Accuracy: 0.957983193277311
Epoch 13/100, Train Loss: 0.0057064267185827095, Validation Loss: 0.07334150560200214, Precision: 0.8333333333333334, Recall: 0.7978418267891952, F1: 0.815069225803689, Accuracy: 0.957983193277311
Epoch 14/100, Train Loss: 0.004775289453876516, Validation Loss: 0.07255759788677096, Precision: 0.8333333333333334, Recall: 0.7938735728209413, F1: 0.8129087319765286, Accuracy: 0.957983193277311
Epoch 15/100, Train Loss: 0.0042632044448206825, Validation Loss: 0.07323911273851991, Precision: 0.8333333333333334, Recall: 0.7938735728209413, F1: 0.8129087319765286, Accuracy: 0.957983193277311
